TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,样本提示
新用户,1,194,139,0.7164948453608248,2.118556701030928,可观察
新用户,0,314,133,0.42356687898089174,1.7484076433121019,可观察
0-6个月,1,465,236,0.5075268817204301,2.868817204301075,可观察
0-6个月,0,1177,189,0.16057774001699235,2.610875106202209,可观察
7-12个月,1,406,81,0.19950738916256158,2.667487684729064,可观察
7-12个月,0,1178,75,0.0636672325976231,2.775042444821732,可观察
13-24个月,1,414,52,0.12560386473429952,3.345410628019324,可观察
13-24个月,0,1053,43,0.04083570750237417,3.8461538461538463,可观察
24个月以上,0,304,0,0.0,3.7467105263157894,可观察
24个月以上,1,125,0,0.0,3.056,可观察
